,Security Center, ,Alert Management,List Alert, , ,Tier,Org User,"Đã có, cần hoàn thiện UI, UX",x, ,x
,Security Center, , ,Alert Detail, , ,Tier,Org User,"Đã có, cần hoàn thiện UI, UX",x, ,x
,Security Center, , ,Alert Actions, , ,Tier,Org User, ,x, ,x
,Security Center, , ,Alert Search Suggestions, , ,Tier,Org User,Chưa phát triển,x, ,x
,Security Center, , ,Alert Field Visualization, , ,Tier,Org User,Chưa phát triển,x, ,x
,Security Center, , ,Alert Grouping, , ,Tier,Org User,"Cho phép cấu hình cơ chế gom nhóm tự động các Alert, sau đó tạo case tự động chứa các Alert đó. ",x, ,x
,Security Center, ,Case Management,List Case, , ,Tier,Org User,,x, ,x
,Security Center, , ,Case Detail,Overview, ,Tier,Org User,,x, ,x
,Security Center, , , ,Grap Entites, ,Tier,Org User,Chưa phát triển,x, ,x
,Security Center, , , ,Timeline, ,Tier,Org User,Chưa phát triển,x, ,x
,Security Center, , , ,Enrichment, ,Tier,Org User,Chưa phát triển,x, ,x
,Security Center, , , ,Attachment file, ,Tier,Org User,,x, ,x
,Security Center, , , ,Observables, ,Tier,Org User,,x, ,x
,Security Center, , , ,Alert list, ,Tier,Org User,Chưa phát triển,x, ,x
,Security Center, , , ,Event list, ,Tier,Org User,,x, ,x
,Security Center, , , ,History, ,Tier,Org User,,x, ,x
,Security Center, , ,Create Case, , ,Tier,Org User,,x, ,x
,Security Center, , ,Edit case, , ,Tier,Org User,,x, ,x
,Security Center, , ,Delete Case, , ,Tier,Org User,,x, ,x
,Security Center, ,Live queries,Saved queries,List Saved Query, ,Tier,Org User,,x, ,x
,Security Center, , , ,Execute Saved Query, ,Tier,Org User, ,x, ,x
,Security Center, , , ,Create Live Query, ,Tier,Org User, ,x, ,x
,Security Center, , , ,Edit Saved Query, ,Tier,Org User, ,x, ,x
,Security Center, , , ,Delete Saved Query, ,Tier,Org User, ,x, ,x
,Security Center, , ,Execute Live query, , ,Tier,Org User,,x, ,x
,Security Center, , ,History,List History, ,Tier,Org User,,x, ,x
